employee_id,first_name,last_name,gender,province,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-54349361,Bente,Hollander,Female,Zuid-Holland,Leiden,2016-02-16,Customer Service,Help Desk Technician,High School,65354,Excellent,Yes,1997-09-12,2022-01-23
00-99788677,Willem,van der Velden,Male,Groningen,Groningen,2019-03-02,Finance,Financial Analyst,Bachelor,77292,Good,Yes,1981-02-20,2021-09-05
00-86644106,Aylin,van Breukeleveen,Male,Zeeland,Middelburg,2020-12-17,Operations,Inventory Specialist,High School,58653,Satisfactory,No,1988-01-26,2021-06-15
00-73481353,Sofia,van der Meer,Female,Zuid-Holland,Leiden,2023-10-02,Customer Service,Support Specialist,High School,56593,Needs Improvement,Yes,1992-02-08,2024-03-30
00-23009833,Jaylinn,Marchal,Male,Zuid-Holland,Den Haag,2022-09-17,Customer Service,Support Specialist,Bachelor,67041,Satisfactory,No,1976-11-19,2024-12-15
00-65177213,Sep,de Boer,Female,Zuid-Holland,Leiden,2019-06-09,HR,Recruiter,High School,52390,Good,Yes,2001-05-16,2019-12-06
00-97705310,Annabel,van Haspengouw Hesbaye,Female,Gelderland,Arnhem,2024-02-14,Customer Service,Help Desk Technician,High School,84402,Satisfactory,No,1971-12-26,2024-08-12
00-64038913,Kick,Dennenberg,Female,Noord-Holland,Haarlem,2022-05-04,Marketing,Marketing Coordinator,Bachelor,73617,Satisfactory,No,1999-10-30,2022-10-31
00-35714784,Elize,Ooms,Male,Noord-Brabant,Tilburg,2017-08-03,Finance,Financial Analyst,PhD,98976,Good,No,1961-01-22,2020-07-19
00-66623995,Aiden,Dries,Male,Noord-Brabant,Breda,2017-09-15,Customer Service,Customer Service Representative,High School,65195,Good,No,1972-06-25,2024-06-02
00-20117988,Bryan,Oennen,Male,Noord-Holland,Alkmaar,2019-01-25,Sales,Sales Representative,Bachelor,73520,Needs Improvement,Yes,1981-12-29,2023-09-23
00-16789850,Bastiaan,Verheij,Male,Zuid-Holland,Den Haag,2022-01-26,Marketing,Content Creator,Bachelor,63574,Satisfactory,No,1982-08-15,2022-07-25
00-11980765,Lenn,Schipper,Male,Zuid-Holland,Rotterdam,2024-09-01,Operations,Logistics Coordinator,Bachelor,68989,Needs Improvement,Yes,1999-12-31,2025-02-28
00-64547971,Justin,van der Meer,Female,Zuid-Holland,Leiden,2019-02-18,Customer Service,Customer Service Representative,High School,67115,Good,Yes,1982-08-06,2023-08-25
00-63826716,Sophie,van Noort,Male,Zuid-Holland,Rotterdam,2023-03-30,Sales,Sales Specialist,Master,78885,Good,No,1982-07-26,2023-09-26
00-10289289,Wessel,le Guellec,Male,Noord-Holland,Amsterdam,2024-03-10,Customer Service,Help Desk Technician,High School,82875,Excellent,Yes,1998-07-06,2024-09-06
00-71070189,Dylan,van Dokkum,Female,Zuid-Holland,Den Haag,2017-05-09,Operations,Logistics Coordinator,Bachelor,56086,Good,No,1984-11-26,2017-11-05
00-84593961,Sjoerd,van Maaren,Male,Zuid-Holland,Leiden,2022-11-11,Sales,Sales Representative,Bachelor,76464,Good,Yes,2004-07-30,2023-05-10
00-35487660,Bram,Giselmeyer,Female,Noord-Holland,Haarlem,2017-01-23,Operations,Inventory Specialist,Bachelor,55478,Good,No,1998-03-19,2019-04-14
00-82772208,Kaylee,Visser,Male,Zuid-Holland,Rotterdam,2016-10-19,Sales,Sales Consultant,PhD,94325,Good,No,1964-12-12,2017-09-23
00-16729990,Fedde,Postma,Female,Zuid-Holland,Rotterdam,2020-03-10,Sales,Sales Representative,Bachelor,73794,Good,No,1984-08-09,2020-09-06
00-81286543,Bibi,van Haarlem,Female,Gelderland,Apeldoorn,2017-02-21,IT,Software Developer,Master,99805,Good,Yes,1975-03-28,2021-05-01
00-34941004,Joep,Schipper,Male,Utrecht,Utrecht,2016-06-17,Sales,Sales Representative,Bachelor,68353,Good,Yes,1970-03-29,2016-12-14
00-41568532,Norah,Eijkelboom,Male,Zuid-Holland,Den Haag,2019-06-11,Finance,Financial Analyst,PhD,91058,Satisfactory,No,1983-11-01,2021-08-07
00-87701200,Ninthe,van der Wal,Male,Noord-Holland,Alkmaar,2020-02-05,Sales,Sales Representative,Bachelor,82569,Satisfactory,Yes,1967-05-13,2020-08-03
00-66267415,Hannah,van der Plas,Female,Zeeland,Goes,2022-11-01,Customer Service,Customer Service Representative,Bachelor,64093,Good,No,1979-07-03,2024-05-14
00-52462441,Yfke,Gellemeyer,Male,Noord-Holland,Amsterdam,2024-12-04,Sales,Sales Representative,Bachelor,67342,Good,No,1992-07-03,2025-06-02
00-52169044,Myrthe,Oversteeg,Female,Gelderland,Apeldoorn,2017-03-02,Operations,Inventory Specialist,Bachelor,56615,Good,No,1962-06-22,2021-04-21
00-96637649,Youssef,van Rheineck,Female,Noord-Holland,Alkmaar,2017-03-19,IT,IT Support Specialist,Bachelor,60121,Excellent,Yes,1977-07-12,2021-06-14
00-19736572,Sepp,Cornelisz,Female,Noord-Holland,Alkmaar,2015-03-01,Operations,Inventory Specialist,Bachelor,55027,Satisfactory,No,1984-10-25,2024-08-16
00-23419256,Abel,de Lange,Female,Noord-Holland,Haarlem,2016-04-06,Operations,Inventory Specialist,High School,57118,Satisfactory,No,1977-07-25,2021-12-02
00-45594597,Loes,van Hostaden,Male,Noord-Holland,Haarlem,2017-04-14,Sales,Sales Representative,Bachelor,62439,Good,No,1990-06-05,2023-07-10
00-42787299,Jente,van Schevinghuizen,Male,Noord-Holland,Amsterdam,2018-02-26,Operations,Operations Analyst,Bachelor,84403,Needs Improvement,No,1988-04-16,2021-05-19
00-82909480,Melle,Molegraaf,Female,Zuid-Holland,Den Haag,2022-12-19,Sales,Sales Consultant,PhD,84044,Good,No,1994-05-03,2023-06-17
00-97775215,Elisa,van der Pol,Female,Zuid-Holland,Leiden,2020-01-23,Sales,Sales Representative,Bachelor,66608,Good,No,1997-07-13,2020-07-21
00-84437458,Mohamed,Coreth von und zu Coredo und Starkenberg,Male,Noord-Holland,Amsterdam,2017-01-19,Operations,Operations Manager,Bachelor,109701,Good,No,2003-06-22,2021-09-28
00-28024248,Wout,van de Biezenbos,Female,Zuid-Holland,Den Haag,2017-12-01,Operations,Operations Analyst,Bachelor,78223,Satisfactory,No,1975-04-03,2022-10-30
00-84252420,Azra,Kleijse,Male,Noord-Holland,Alkmaar,2017-01-21,Sales,Sales Specialist,Bachelor,70227,Satisfactory,Yes,1988-01-04,2021-04-18
00-38270233,Amy,Estey,Male,Utrecht,Nieuwegein,2022-11-06,IT,IT Support Specialist,Bachelor,70358,Satisfactory,No,1984-11-13,2023-05-05
00-95125977,Collin,Doesburg,Male,Zuid-Holland,Leiden,2023-09-03,Operations,Inventory Specialist,High School,62206,Good,No,1981-03-07,2024-03-01
00-43704923,Laurens,der Kijnder,Female,Noord-Holland,Alkmaar,2023-02-13,IT,Software Developer,Bachelor,94773,Satisfactory,No,1987-11-27,2023-08-12
00-95132217,Pleun,Poncelet,Male,Overijssel,Zwolle,2019-07-30,Operations,Inventory Specialist,Bachelor,68378,Satisfactory,No,2001-07-11,2023-12-09
00-10475894,Berat,Everts,Female,Noord-Holland,Alkmaar,2018-06-02,Operations,Logistics Coordinator,Bachelor,59378,Satisfactory,No,2000-12-04,2018-11-29
00-45159040,Elise,van den Nuwenhuijzen,Female,Noord-Holland,Amsterdam,2017-04-26,Marketing,Content Creator,High School,53731,Satisfactory,No,1986-11-16,2022-12-18
00-67403166,Luke,Mathieu,Male,Noord-Holland,Haarlem,2020-09-01,Sales,Sales Specialist,PhD,65072,Satisfactory,No,1962-04-19,2021-02-28
00-30005727,Mohamed,Passchiers,Male,Zuid-Holland,Leiden,2020-04-06,IT,IT Support Specialist,Bachelor,67289,Good,No,2000-11-01,2021-07-29
00-84158663,Hidde,Steenbakkers,Male,Zuid-Holland,Den Haag,2017-06-16,Operations,Inventory Specialist,High School,61248,Good,No,2002-12-09,2017-12-13
00-51373735,Sofia,Dubois,Female,Gelderland,Nijmegen,2018-01-04,IT,Software Developer,Master,86279,Satisfactory,No,1973-01-25,2022-04-06
00-38195995,Feline,Goderts,Male,Noord-Holland,Amsterdam,2022-01-27,Operations,Inventory Specialist,High School,60543,Good,No,1964-05-21,2024-08-27
00-57469942,Justin,van de Klashorst,Female,Noord-Brabant,Breda,2023-04-07,Customer Service,Customer Service Representative,Bachelor,55256,Satisfactory,No,1985-09-12,2023-10-04
00-30743797,Sophia,"West-Francië, van",Female,Noord-Holland,Amsterdam,2024-11-17,Operations,Inventory Specialist,Bachelor,62585,Satisfactory,No,1983-11-08,2025-05-16
00-31810617,Nynke,Pierson,Female,Noord-Brabant,Tilburg,2024-05-14,Operations,Inventory Specialist,Bachelor,60945,Good,Yes,1989-06-24,2024-11-10
00-13326769,Jason,van Engelen,Female,Gelderland,Arnhem,2017-10-31,Customer Service,Help Desk Technician,High School,66708,Satisfactory,No,1968-05-11,2021-08-29
00-65259205,Johanna,Stichter,Female,Noord-Holland,Haarlem,2023-08-11,Customer Service,Customer Service Representative,High School,58909,Excellent,No,1973-06-07,2024-02-07
00-43308443,Madelief,van der Heijden,Male,Groningen,Groningen,2017-01-03,Operations,Operations Analyst,Master,71500,Satisfactory,No,1987-12-06,2019-08-10
00-61343880,Marit,Stange,Female,Noord-Holland,Amsterdam,2023-12-06,Customer Service,Customer Service Representative,Bachelor,55867,Good,No,1983-01-16,2024-06-03
00-36786211,Faas,Hulskes,Male,Noord-Holland,Haarlem,2023-04-07,IT,System Administrator,Master,69107,Good,Yes,1995-10-31,2023-10-04
00-50962024,Pleun,Haengreve,Female,Noord-Holland,Haarlem,2023-09-28,Customer Service,Customer Service Manager,Bachelor,66327,Needs Improvement,No,1984-03-12,2024-09-03
00-13176186,Jari,Schagen,Female,Noord-Holland,Haarlem,2022-04-13,Sales,Sales Representative,Bachelor,66190,Good,No,1983-08-04,2022-10-10
00-47393469,Julius,Walsteijn,Male,Noord-Holland,Amsterdam,2023-03-16,Sales,Sales Representative,Bachelor,62624,Satisfactory,Yes,1999-09-15,2023-09-12
00-96098221,Fiene,Roosenboom,Male,Zeeland,Vlissingen,2020-07-03,IT,Software Developer,Bachelor,90567,Good,Yes,1965-05-30,2021-12-25
00-81969657,Luc,Cant,Male,Noord-Holland,Alkmaar,2018-02-03,Marketing,SEO Specialist,Bachelor,73535,Satisfactory,No,1960-11-27,2024-10-04
00-45059710,Sven,Schenkel,Male,Noord-Holland,Haarlem,2017-01-17,Operations,Logistics Coordinator,Bachelor,65896,Satisfactory,No,1995-02-02,2024-12-14
00-24549543,Noah,Huijben,Male,Noord-Holland,Amsterdam,2020-08-20,IT,Software Developer,Bachelor,95298,Good,No,1998-06-20,2021-02-16
00-52101056,Luuk,Koeman,Male,Friesland,Sneek,2019-09-27,Sales,Sales Representative,Bachelor,79802,Satisfactory,No,1997-03-10,2020-03-25
00-61700055,Chloé,van Dagsburg,Female,Zuid-Holland,Leiden,2023-07-24,Finance,Financial Analyst,Bachelor,92397,Good,No,1997-10-05,2024-01-20
00-15957459,Finn,Eijkelboom,Female,Zuid-Holland,Rotterdam,2022-12-10,Marketing,SEO Specialist,Bachelor,80910,Good,No,1991-03-31,2024-04-03
00-82269803,Jaylinn,Jurrijens,Female,Zuid-Holland,Rotterdam,2022-07-18,Marketing,Content Creator,Bachelor,58546,Excellent,No,1993-04-19,2023-05-03
00-36445607,Mette,Zuijdveld,Male,Noord-Holland,Alkmaar,2018-08-01,Sales,Sales Representative,Bachelor,75963,Satisfactory,Yes,1988-06-10,2022-07-24
00-54318698,Jake,van Dijk,Male,Noord-Holland,Alkmaar,2021-02-16,Sales,Sales Specialist,PhD,74759,Satisfactory,No,1968-03-02,2022-02-18
00-26726926,Mike,Wright,Male,Zuid-Holland,Den Haag,2022-11-24,Customer Service,Help Desk Technician,Bachelor,74811,Satisfactory,Yes,1994-03-20,2023-05-23
00-51511484,Loïs,Briere,Male,Utrecht,Nieuwegein,2022-11-24,Customer Service,Customer Service Representative,High School,62916,Excellent,No,1974-12-09,2023-05-23
00-49682169,Julius,Pratt,Male,Zuid-Holland,Rotterdam,2020-08-31,IT,System Administrator,Master,93061,Satisfactory,No,1986-01-04,2021-02-27
00-99245317,Quinn,le Gallen,Male,Zuid-Holland,Leiden,2024-12-21,Operations,Inventory Specialist,Bachelor,67492,Good,Yes,1978-04-03,2025-06-19
00-33357554,Lena,Kerkhof,Female,Noord-Holland,Haarlem,2021-12-03,Sales,Sales Consultant,Master,99225,Good,No,1971-11-26,2024-04-06
00-83542887,Lenn,Kok,Female,Noord-Brabant,Eindhoven,2023-12-22,Customer Service,Help Desk Technician,High School,78089,Needs Improvement,No,1983-04-07,2024-06-19
00-38210242,Mara,Laffray,Male,Utrecht,Nieuwegein,2019-11-17,Sales,Sales Manager,Master,119468,Good,No,1979-07-24,2022-08-25
00-97873101,Ayden,Lambregt,Female,Noord-Holland,Haarlem,2018-09-26,Sales,Sales Consultant,Bachelor,72002,Good,No,1961-08-20,2022-05-10
00-38682516,Noah,van Allemanië,Male,Zuid-Holland,Den Haag,2020-10-19,Customer Service,Customer Service Representative,Bachelor,66842,Satisfactory,No,1999-07-07,2024-07-05
00-98429450,Nisa,Post,Male,Groningen,Groningen,2016-04-07,Sales,Sales Representative,Bachelor,76036,Excellent,No,1998-07-02,2020-11-02
00-94951883,Lola,Hak,Female,Gelderland,Arnhem,2021-05-20,Customer Service,Support Specialist,High School,64101,Satisfactory,Yes,1970-04-29,2021-11-16
00-41523529,Benjamin,van Munster,Female,Gelderland,Nijmegen,2022-03-22,IT,Software Developer,Bachelor,85464,Needs Improvement,No,1980-07-29,2022-09-18
00-36726767,Marit,van Landen,Female,Noord-Holland,Alkmaar,2017-05-08,Operations,Logistics Coordinator,Bachelor,59563,Good,No,1985-09-02,2024-09-23
00-73771720,Maud,Oda,Male,Utrecht,Nieuwegein,2021-03-23,Sales,Sales Consultant,Master,82225,Good,No,2002-01-24,2021-09-19
00-65625330,Inaya,Louws,Female,Noord-Holland,Alkmaar,2023-05-26,Customer Service,Support Specialist,Bachelor,62371,Good,Yes,1988-03-06,2023-11-22
00-61536717,Mathijs,Dorsman,Female,Groningen,Groningen,2020-12-18,Operations,Logistics Coordinator,Bachelor,62804,Satisfactory,No,1980-12-06,2021-06-16
00-98054615,Mathijs,Weyland,Female,Noord-Brabant,Eindhoven,2022-08-22,Sales,Sales Representative,Bachelor,65374,Satisfactory,Yes,1983-07-26,2023-02-18
00-67062156,Sep,van der Linden,Female,Gelderland,Arnhem,2017-05-01,Sales,Sales Specialist,PhD,77915,Good,Yes,1962-08-04,2021-04-17
00-72350830,Bart,Hekker,Female,Zuid-Holland,Den Haag,2016-11-16,Customer Service,Customer Service Representative,Bachelor,62617,Good,No,1964-03-16,2017-05-15
00-26288475,Luke,Lagerweij,Male,Zuid-Holland,Den Haag,2019-07-31,Sales,Sales Consultant,Bachelor,96379,Good,Yes,1999-08-08,2020-09-12
00-81287314,Maarten,Bresse,Female,Noord-Holland,Alkmaar,2024-02-09,Marketing,Marketing Coordinator,Bachelor,53366,Satisfactory,No,1979-05-15,2024-08-07
00-69401199,Thomas,Weijland,Female,Noord-Brabant,Eindhoven,2021-09-23,Sales,Sales Representative,Bachelor,60023,Good,No,1978-10-07,2022-09-14
00-67276174,Mohamed,van Egisheim,Female,Utrecht,Amersfoort,2023-08-09,IT,System Administrator,Master,74403,Excellent,No,1994-03-13,2024-02-05
00-31361812,Amélie,Hekker,Female,Noord-Brabant,Eindhoven,2022-05-21,Sales,Sales Consultant,Master,95303,Satisfactory,No,1982-04-27,2022-11-17
00-44788100,Eline,Lips,Female,Zuid-Holland,Den Haag,2022-04-03,Customer Service,Customer Service Representative,Bachelor,60132,Good,No,1997-04-14,2024-06-20
00-79967676,Jolijn,van Egisheim,Female,Utrecht,Nieuwegein,2019-01-01,Customer Service,Help Desk Technician,Bachelor,73119,Good,Yes,1999-01-08,2023-12-22
00-69038700,Sienna,van der Maes,Male,Zuid-Holland,Den Haag,2016-09-07,Operations,Inventory Specialist,Bachelor,64484,Good,No,1997-09-02,2022-09-16
00-46468984,Suus,Maaswinkel,Female,Zuid-Holland,Leiden,2018-05-13,Operations,Inventory Specialist,High School,62112,Satisfactory,No,2001-05-08,2020-01-06
00-28572252,Collin,Verheij,Male,Zuid-Holland,Leiden,2017-08-15,IT,Software Developer,Master,108430,Satisfactory,No,1975-07-28,2018-02-11
00-30509175,Iris,Hoes,Male,Utrecht,Utrecht,2022-09-19,Marketing,Marketing Coordinator,Bachelor,73432,Good,No,1982-08-25,2023-03-18
00-64707061,Micha,van de Leemput,Male,Noord-Brabant,Breda,2018-04-23,Sales,Sales Representative,Bachelor,62879,Satisfactory,No,2001-11-14,2018-10-20
00-18357162,Simon,Verbeek,Male,Noord-Holland,Alkmaar,2017-05-27,Finance,Accountant,Bachelor,67904,Satisfactory,No,1998-07-22,2024-01-23
00-88393811,Melle,Honing,Female,Zuid-Holland,Rotterdam,2024-03-11,Marketing,Content Creator,High School,56178,Good,No,1984-01-16,2024-09-07
00-87267850,Isa,de Grote,Female,Noord-Holland,Haarlem,2018-09-04,Customer Service,Support Specialist,Bachelor,55138,Satisfactory,No,1990-06-25,2019-07-27
00-50079111,Roos,Kuipers,Female,Noord-Holland,Amsterdam,2022-08-13,Customer Service,Help Desk Technician,High School,82319,Good,No,1985-07-17,2023-11-25
00-83300637,Michael,le Floch,Male,Zuid-Holland,Leiden,2023-07-19,Sales,Sales Representative,Bachelor,75328,Good,Yes,1985-10-12,2024-01-15
00-39450273,Aaron,Stoffelsz,Male,Utrecht,Utrecht,2017-04-15,Operations,Logistics Coordinator,Bachelor,59356,Excellent,Yes,1985-06-29,2020-03-01
00-62191530,Thijs,Vandenbergh,Male,Zuid-Holland,Rotterdam,2018-06-19,Customer Service,Help Desk Technician,High School,69641,Good,No,1974-10-14,2021-01-16
00-64266464,Tijs,Mijsberg,Male,Utrecht,Amersfoort,2022-07-06,IT,System Administrator,Master,87213,Satisfactory,No,1965-02-16,2023-01-02
00-93517915,Louise,Kramer,Male,Noord-Brabant,Eindhoven,2020-08-28,Finance,Accounts Payable Specialist,Bachelor,62279,Good,No,1982-08-12,2021-05-17
00-85751409,Matthijs,van den Bergh,Female,Noord-Holland,Alkmaar,2022-08-30,Finance,Accountant,Bachelor,85568,Satisfactory,No,1980-09-17,2023-02-26
